C1_NM,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
강원특별자치도,21906.0,22660.0,23566.0,24751.0,26351.0,27608.0,29380.0,31200.0,32267.0,33780.0,33945.0,36350.0,37797.0,40749.0
경기도,25344.0,26130.0,27475.0,29030.0,30249.0,32590.0,34399.0,37146.0,38541.0,38135.0,38890.0,41392.0,42903.0,43155.0
경상남도,28403.0,29574.0,30712.0,31117.0,31316.0,32739.0,34005.0,33985.0,34291.0,35355.0,34325.0,35661.0,38612.0,42638.0
경상북도,34902.0,35926.0,36634.0,38367.0,40839.0,40916.0,41820.0,43005.0,43129.0,42598.0,42263.0,44957.0,46243.0,48791.0
광주광역시,19867.0,20426.0,21203.0,22248.0,23448.0,24731.0,26248.0,27449.0,28594.0,29807.0,30823.0,32098.0,33497.0,35143.0
대구광역시,17526.0,18399.0,19338.0,20260.0,21114.0,22685.0,23382.0,24170.0,24820.0,25653.0,25928.0,27770.0,29654.0,30664.0
대전광역시,20428.0,21195.0,21844.0,22326.0,23047.0,24568.0,26265.0,27281.0,28027.0,29870.0,31276.0,32928.0,34409.0,36174.0
부산광역시,20459.0,20883.0,21761.0,22554.0,23991.0,25707.0,26800.0,27210.0,28355.0,29436.0,29272.0,31950.0,34465.0,35431.0
서울특별시,32407.0,33740.0,34682.0,35553.0,36635.0,38911.0,41359.0,43731.0,46547.0,48248.0,49165.0,53373.0,56094.0,58829.0
세종특별자치시,,,,59432.0,67352.0,53194.0,46767.0,44964.0,41137.0,40597.0,40212.0,42797.0,42207.0,43227.0
울산광역시,58224.0,64781.0,65248.0,65650.0,63793.0,65408.0,65031.0,66786.0,65897.0,65486.0,59529.0,70889.0,76234.0,80821.0
인천광역시,23871.0,24103.0,24508.0,25177.0,26559.0,28376.0,29864.0,31198.0,31688.0,32272.0,32292.0,35388.0,38065.0,39104.0
전라남도,36825.0,37545.0,38225.0,39463.0,39322.0,40834.0,42473.0,43582.0,44086.0,44535.0,45339.0,52489.0,54179.0,55892.0
전북특별자치도,22033.0,23161.0,23767.0,25040.0,25890.0,26827.0,27300.0,28545.0,29319.0,30400.0,31213.0,33164.0,34484.0,36052.0
제주특별자치도,22034.0,23704.0,25205.0,26186.0,27766.0,30275.0,32389.0,34134.0,33673.0,33545.0,32404.0,33861.0,35999.0,38570.0
충청남도,41590.0,44324.0,44779.0,46588.0,47563.0,49568.0,51891.0,55839.0,56126.0,54857.0,56448.0,62474.0,64469.0,64310.0
충청북도,27817.0,29495.0,30712.0,32148.0,33496.0,36656.0,39848.0,43254.0,46002.0,46777.0,46462.0,49519.0,52252.0,53827.0
