전출,강원,경기,경남,경북,광주,대구,대전,부산,서울,세종,울산,인천,전남,전북,제주,충남,충북
강원,73024,20460,1559,2656,544,1234,1678,1375,15200,475,574,3930,879,883,576,2371,3278
경기,21024,720809,10452,13228,5513,7372,10866,9159,178059,3879,3419,52212,9774,10876,6388,29404,17255
경남,1853,13405,138904,7587,1000,6680,2198,33719,14415,676,5266,2683,3156,1535,1433,3158,2147
경북,2673,14599,6399,106603,616,30807,2954,7092,12468,692,5335,2956,1223,1039,883,3237,3389
광주,592,7310,954,711,75924,500,1273,1047,8707,471,281,1608,22769,4194,714,1637,886
대구,1324,10145,6013,30192,431,132340,1769,4248,12249,531,2493,1676,727,672,924,2014,1651
대전,1438,11579,1615,2265,891,1360,75827,1425,11524,5818,525,2015,1113,2768,573,11431,6308
부산,1468,12603,33086,7168,872,3846,1762,178200,16636,584,7277,2318,2212,1049,1782,2309,1618
서울,13882,200768,9138,9389,5451,7191,8948,10309,522699,3384,3259,33512,7672,8610,6145,14539,9586
세종,410,3830,429,592,368,393,4948,441,3971,12427,158,655,398,752,221,3618,3043
울산,593,4781,5193,5940,217,2284,732,7747,5182,205,50199,862,612,467,463,1105,728
인천,3687,44337,2109,2762,1146,1219,1868,1762,27326,608,635,161310,2263,2212,1503,6012,3062
전남,907,10453,2714,1333,21912,675,1474,2200,9285,458,656,2482,78766,3987,782,2460,1185
전북,939,11809,1444,1099,4155,680,3634,1035,10879,850,444,2487,3774,95832,677,4761,1855
제주,666,6220,1403,952,769,860,632,1923,6981,246,400,1817,882,816,34713,880,654
충남,1928,25382,2229,2494,1131,1444,10917,1678,15094,3176,785,5175,1905,4129,746,98510,4970
충북,3126,15681,1541,3013,617,1350,6472,1273,10658,2786,570,2838,1005,1565,615,5311,77801
