시도,시군구,합계출산율_2013
서울,종로구,0.729
서울,중구,0.955
서울,용산구,1.008
서울,성동구,1.079
서울,광진구,0.877
서울,동대문구,0.909
서울,중랑구,0.991
서울,성북구,0.983
서울,강북구,0.963
서울,도봉구,0.956
서울,노원구,1.057
서울,은평구,1.024
서울,서대문구,0.938
서울,마포구,0.892
서울,양천구,0.99
서울,강서구,1.032
서울,구로구,1.162
서울,금천구,0.944
서울,영등포구,0.999
서울,동작구,0.974
서울,관악구,0.825
서울,서초구,1.007
서울,강남구,0.842
서울,송파구,0.973
서울,강동구,1.006
부산,중구,0.887
부산,서구,0.819
부산,동구,0.947
부산,영도구,0.84
부산,부산진구,1.029
부산,동래구,0.935
부산,남구,1.017
부산,북구,1.148
부산,해운대구,1.058
부산,사하구,1.147
부산,금정구,0.921
부산,강서구,1.424
부산,연제구,0.989
부산,수영구,0.897
부산,사상구,1.15
부산,기장군,1.61
대구,중구,0.936
대구,동구,1.195
대구,서구,0.994
대구,남구,0.889
대구,북구,1.217
대구,수성구,0.944
대구,달서구,1.187
대구,달성군,1.476
인천,중구,1.283
인천,동구,1.221
인천,남구,1.107
인천,연수구,1.21
인천,남동구,1.183
인천,부평구,1.139
인천,계양구,1.142
인천,서구,1.384
인천,강화군,0.991
인천,옹진군,1.352
광주,동구,1.17
광주,서구,1.095
광주,남구,0.96
광주,북구,1.082
광주,광산구,1.465
대전,동구,1.25
대전,중구,1.128
대전,서구,1.164
대전,유성구,1.391
대전,대덕구,1.276
울산,중구,1.189
울산,남구,1.25
울산,동구,1.572
울산,북구,1.572
울산,울주군,1.526
세종,세종특별자치시,1.435
세종,세종시,1.435
경기,수원시,1.23
경기,장안구,1.173
경기,권선구,1.206
경기,팔달구,1.078
경기,영통구,1.403
경기,성남시,1.11
경기,수정구,1.038
경기,중원구,1.034
경기,분당구,1.184
경기,의정부시,1.08
경기,안양시,1.111
경기,만안구,1.047
경기,동안구,1.157
경기,부천시,1.053
경기,원미구,1.061
경기,소사구,1.053
경기,오정구,1.029
경기,광명시,1.198
경기,평택시,1.409
경기,동두천시,1.293
경기,안산시,1.183
경기,상록구,1.221
경기,단원구,1.139
경기,고양시,1.087
경기,덕양구,1.132
경기,일산동구,0.993
경기,일산서구,1.132
경기,과천시,1.184
경기,구리시,1.153
경기,남양주시,1.24
경기,오산시,1.469
경기,시흥시,1.289
경기,군포시,1.352
경기,의왕시,1.312
경기,하남시,1.057
경기,용인시,1.244
경기,처인구,1.184
경기,기흥구,1.281
경기,수지구,1.215
경기,파주시,1.415
경기,이천시,1.367
경기,안성시,1.404
경기,김포시,1.356
경기,화성시,1.542
경기,광주시,1.34
경기,양주시,1.297
경기,포천시,1.233
경기,여주시,1.308
경기,연천군,1.922
경기,가평군,1.207
경기,양평군,1.224
강원,춘천시,1.203
강원,원주시,1.193
강원,강릉시,1.173
강원,동해시,1.378
강원,태백시,1.244
강원,속초시,1.268
강원,삼척시,1.245
강원,홍천군,1.238
강원,횡성군,1.048
강원,영월군,1.103
강원,평창군,1.24
강원,정선군,1.079
강원,철원군,1.626
강원,화천군,1.758
강원,양구군,1.546
강원,인제군,1.91
강원,고성군,1.309
강원,양양군,1.167
충북,청주시,1.341
충북,상당구,1.289
충북,흥덕구,1.367
충북,충주시,1.254
충북,제천시,1.317
충북,청원군,1.695
충북,보은군,1.185
충북,옥천군,1.102
충북,영동군,1.284
충북,진천군,1.455
충북,괴산군,0.921
충북,음성군,1.448
충북,단양군,1.046
충북,증평군,1.657
충남,천안시,1.351
충남,동남구,1.326
충남,서북구,1.367
충남,공주시,1.14
충남,보령시,1.242
