시도,시군구,총인구,면적,인구밀도,인구증가율,고령,생산가능,유소년,고령인구비율,합계출산율,출생아수,합계출산율_2013
강원,강릉시,211381.0,1040.82745,201.2235549683,-0.92,51700.0,137876.0,19863.0,24.45820579900748,0.846,826.0,1.173
강원,고성군,27274.0,660.76651,41.3232199346,0.11,8773.0,16490.0,2042.0,32.16616557893965,0.87,87.0,1.309
강원,동해시,89426.0,180.30772,491.5208363075,-0.9,20861.0,58203.0,9561.0,23.327667568716038,0.949,356.0,1.378
강원,삼척시,63455.0,1187.83673,52.7437808245,-1.27,18014.0,39245.0,5392.0,28.38862185800961,1.201,276.0,1.245
강원,속초시,82806.0,105.75367,775.8974469677,-0.91,18496.0,55031.0,8527.0,22.336545660942445,0.761,308.0,1.268
강원,양구군,21383.0,661.99173,31.8070440272,-1.53,5278.0,13514.0,2264.0,24.68315951924426,1.278,128.0,1.546
강원,양양군,27866.0,629.77706,43.999697157,-0.56,9398.0,16421.0,1891.0,33.72568721739754,0.824,79.0,1.167
강원,영월군,37728.0,1127.40772,33.1131315584,-1.05,12705.0,22111.0,2516.0,33.67525445292621,0.939,101.0,1.103
강원,원주시,360807.0,868.28519,416.3413172944,0.19,64487.0,253977.0,43039.0,17.8729902690358,0.873,1934.0,1.193
강원,인제군,32206.0,1646.19757,19.450885217,-0.58,7627.0,20946.0,3447.0,23.681922623113707,1.355,212.0,1.91
강원,정선군,34931.0,1219.78121,28.0394546162,-2.09,11250.0,20534.0,2418.0,32.206349660759784,0.971,96.0,1.079
강원,철원군,42256.0,890.12973,46.5639993274,-1.91,11093.0,26165.0,4190.0,26.251893222264293,1.248,227.0,1.626
강원,춘천시,286664.0,1116.41579,256.55853551,-0.08,58611.0,195759.0,32056.0,20.44588786872436,0.789,1330.0,1.203
강원,태백시,39428.0,303.43843,127.5448212636,-1.84,11300.0,23932.0,3470.0,28.659835649792026,0.698,91.0,1.244
강원,평창군,40990.0,1464.25765,27.767654197,-0.81,13501.0,24527.0,2631.0,32.937301780922176,0.754,92.0,1.24
강원,홍천군,67977.0,1820.57273,36.9713327294,-0.98,21287.0,40610.0,5412.0,31.315003604160232,1.118,277.0,1.238
강원,화천군,23388.0,909.09453,25.3075991302,-1.63,6136.0,14613.0,2258.0,26.23567641525569,1.271,136.0,1.758
강원,횡성군,46532.0,998.0022,46.4518014461,-0.37,16038.0,27088.0,3233.0,34.46660362761111,0.924,132.0,1.048
경기,가평군,62150.0,842.82197,73.9207122534,0.24,18713.0,38735.0,4854.0,30.10941271118262,0.723,181.0,1.207
경기,고양시,1076535.0,268.1269,4008.9488001067,-0.15,173057.0,782645.0,119205.0,16.075371446353348,0.695,5017.0,1.087
경기,과천시,78137.0,35.8714,2258.0664090919,3.66,11771.0,57069.0,12160.0,15.064566082649703,1.016,599.0,1.184
경기,광명시,287945.0,38.52119,7273.8401430091,-2.69,46870.0,201048.0,32279.0,16.277414089496258,0.793,1452.0,1.198
경기,광주시,391462.0,430.98834,908.0918582221,-0.02,64032.0,279377.0,47968.0,16.357143222075194,0.783,1937.0,1.34
